Dataset,Model,True_Value,Prediction,Residual
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.80769230769,0.683,1.12469230769
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.6,0.367,-1.967
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.0625,0.7,1.3625
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.86666666667,1.267,1.5996666666700001
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.44444444444,0.379,-1.82344444444
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.4,0.367,-1.767
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.3888888888900004,0.672,1.7168888888900002
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.33333333333299997,0.567,-0.9003333333329999
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.0,0.29,-2.29
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.733333333333,0.621,0.112333333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.53333333333,0.621,0.9123333333300001
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.0,0.5,-1.5
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.7368421052599996,1.089,1.6478421052599996
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.44444444444,0.32,-2.76444444444
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.733333333333,0.375,-1.1083333333329999
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.4375,0.379,-1.8165
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.11764705882,1.2,-0.08235294117999992
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.66666666667,1.2,1.46666666667
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.5,1.062,0.43799999999999994
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.4,0.5,0.8999999999999999
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.933333333333,0.379,-1.312333333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.3529411764700003,0.379,-2.7319411764700003
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.77777777778,0.683,2.09477777778
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.72222222222,0.5,1.22222222222
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.1111111111099996,0.531,-2.6421111111099997
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.47368421053,0.367,-1.84068421053
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.53333333333,0.567,1.96633333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.94117647059,0.567,1.3741764705900001
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.51851851852,1.083,-2.60151851852
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.4,0.387,-2.787
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.0,0.5,1.5
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.125,0.357,-0.482
"V-A,V-M,V-NYT,V-T",Emollama-7b,-3.2380952381,0.352,-3.5900952381
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.04,0.5,0.54
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.6,0.397,-1.997
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.0,0.567,1.433
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.77777777778,1.2,1.57777777778
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.4375,0.5,-0.9375
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.85,0.32,-2.17
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.40909090909,1.067,-3.47609090909
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.1,0.621,0.4790000000000001
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.533333333333,0.352,0.18133333333300006
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.11764705882,1.0,1.1176470588199998
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.1875,0.375,-2.5625
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.46666666667,0.532,0.9346666666699999
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.4285714285699997,0.31,-2.73857142857
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.5,0.383,-1.883
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.47619047619,0.31,-1.78619047619
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.4375,1.07,0.36749999999999994
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.733333333333,0.517,-1.250333333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.733333333333,0.35,0.383333333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.0,0.31,-2.31
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.5789473684200002,0.567,1.0119473684200002
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.8125,0.29,-2.1025
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.3888888888900004,0.5,1.8888888888900004
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.33333333333,0.5,0.8333333333299999
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.76470588235,0.32,-2.0847058823499998
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.2,0.397,-0.597
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.625,0.5,1.125
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.105263157895,0.367,-0.261736842105
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.35294117647,0.315,-1.6679411764699998
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.05882352941,0.5,0.5588235294099999
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.25925925926,0.567,0.6922592592600001
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.47368421053,0.367,-1.84068421053
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.875,1.0,1.875
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.6,0.32,-1.9200000000000002
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.66666666667,0.5,1.16666666667
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.5714285714300003,1.2,1.3714285714300003
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.4210526315799998,0.5,0.9210526315799998
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.86363636364,0.387,-2.25063636364
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.76,1.2,0.56
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.529411764706,0.375,0.15441176470600004
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.7,1.2,0.5
"V-A,V-M,V-NYT,V-T",Emollama-7b,-3.06666666667,0.27,-3.3366666666700002
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.42857142857,0.6,0.82857142857
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.3684210526299998,0.583,0.7854210526299998
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.33333333333,0.31,-2.64333333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.88888888889,0.387,-2.27588888889
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.03703703704,0.375,-1.41203703704
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.05555555556,0.328,-2.3835555555599997
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.84210526316,0.367,-2.2091052631599997
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.2666666666700002,0.327,-1.5936666666700001
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.89473684211,0.379,-2.27373684211
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.41176470588,0.567,1.84476470588
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.66666666667,0.387,-3.05366666667
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.1111111111099996,0.582,1.5291111111099998
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.0,0.5,-1.5
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.15,0.32,-1.47
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.05555555556,1.28,0.7755555555599998
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.18181818182,0.328,-2.50981818182
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.8125,0.387,-2.1995
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.6,0.379,-1.979
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.578947368421,0.567,0.011947368421000082
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.52941176471,1.0,1.5294117647099998
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.238095238095,0.5,-0.261904761905
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.83333333333,0.32,-3.15333333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.0,0.567,0.43300000000000005
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.8235294117649999,0.375,0.44852941176499994
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.3684210526299998,0.567,0.8014210526299999
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.66666666667,0.32,-1.9866666666700001
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.21052631579,1.375,0.8355263157900001
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.70588235294,1.086,0.6198823529399999
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.57692307692,1.28,0.29692307692
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.4375,0.35,-1.7875
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.3888888888900004,0.397,-2.7858888888900006
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.42857142857,0.367,-1.79557142857
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.51851851852,1.2,0.3185185185200001
"V-A,V-M,V-NYT,V-T",Emollama-7b,-3.0588235294099997,0.328,-3.3868235294099995
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.10526315789,0.367,-2.47226315789
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.625,0.5,-2.125
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.0,1.0,1.0
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.0,0.276,-2.276
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.6818181818179999,0.357,0.32481818181799993
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.53333333333,0.379,-1.91233333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.9375,2.083,0.8544999999999998
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.0,0.567,1.433
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.61111111111,0.367,-1.97811111111
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.105263157895,0.5,-0.605263157895
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.0,0.367,-2.367
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.72727272727,1.06,0.6672727272699999
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.39130434783,0.65,0.74130434783
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.57692307692,0.267,-2.84392307692
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.70588235294,0.583,1.12288235294
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.588235294118,0.5,0.08823529411800002
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.61904761905,0.531,1.0880476190500001
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.157894736842,0.397,-0.5548947368420001
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.3125,0.621,0.6915
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.33333333333,0.371,-2.70433333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.5,1.083,0.41700000000000004
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.9411764705900003,1.28,1.6611764705900003
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.70588235294,0.567,2.1388823529399996
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.23529411765,0.5,-1.73529411765
"V-A,V-M,V-NYT,V-T",Emollama-7b,-3.75,0.267,-4.017
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.95652173913,0.583,1.37352173913
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.66666666667,0.581,1.0856666666700001
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.0625,0.5,1.5625
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.26315789474,0.383,-2.64615789474
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.8,0.397,-2.197
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.541666666667,0.367,0.17466666666700004
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.13333333333,0.567,0.56633333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.11538461538,0.32,-2.43538461538
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.27777777778,0.367,-1.64477777778
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.52941176471,0.379,1.15041176471
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.11764705882,0.397,0.72064705882
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.55,0.379,-1.929
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.68421052632,1.2,1.4842105263199998
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.92307692308,0.531,1.3920769230799999
"V-A,V-M,V-NYT,V-T",Emollama-7b,-3.1363636363599996,0.32,-3.4563636363599994
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.38095238095,0.532,1.8489523809500001
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.3,0.25,-2.55
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.56,0.567,0.9930000000000001
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.89473684211,0.567,1.32773684211
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.8125,1.2,0.6125
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.66666666667,0.5,-2.1666666666700003
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.111111111111,0.5,-0.611111111111
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.94117647059,0.27,-2.21117647059
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.16666666667,0.35,-1.51666666667
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.66666666667,0.587,1.07966666667
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.1875,0.517,0.6705
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.3,0.531,0.769
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.06666666667,1.267,0.7996666666700003
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.31578947368,0.581,1.7347894736800002
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.60869565217,0.532,1.07669565217
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.58823529412,0.375,-1.96323529412
"V-A,V-M,V-NYT,V-T",Emollama-7b,-3.52380952381,0.267,-3.7908095238099997
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.647058823529,0.567,0.08005882352900007
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.3157894736799998,0.367,-1.6827894736799998
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.8518518518520001,0.38,0.47185185185200007
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.85185185185,1.08,0.7718518518499999
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.90909090909,1.08,0.8290909090899998
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.93333333333,1.06,0.87333333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.17647058824,0.532,0.6444705882399999
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.35294117647100004,0.583,-0.23005882352899992
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.70588235294,1.067,0.6388823529400001
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.7647058823530001,0.367,-1.1317058823530002
"V-A,V-M,V-NYT,V-T",Emollama-7b,-3.1,0.286,-3.386
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.85,1.083,0.7670000000000001
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.3,0.259,-2.5589999999999997
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.17647058824,1.08,0.09647058823999988
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.1111111111099996,0.5,-2.6111111111099996
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.6315789473700002,1.2,0.43157894737000024
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.04166666667,0.321,-2.36266666667
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.84210526316,1.083,0.7591052631599999
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.3529411764700003,0.528,-2.8809411764700004
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.85,0.387,-2.237
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.13333333333,0.379,-2.51233333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.47058823529,0.367,1.10358823529
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.8,0.32,-3.1199999999999997
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.8,0.35,-2.15
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.88235294118,1.06,0.8223529411799999
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.466666666667,0.375,0.09166666666700002
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.46666666667,0.379,-1.84566666667
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.6,1.067,1.5330000000000001
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.4347826087,0.383,-1.8177826087
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.31578947368,1.25,1.0657894736800002
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.8,0.621,2.179
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.66666666667,0.5,1.16666666667
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.33333333333299997,0.567,-0.9003333333329999
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.27272727273,0.5,0.7727272727300001
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.72222222222,0.367,-2.08922222222
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.23529411765,0.397,-1.63229411765
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.44,0.5,-2.94
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.47619047619,0.29,-2.7661904761900002
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.27272727273,0.5,-1.77272727273
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.26666666667,1.2,1.06666666667
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.0,0.5,-1.5
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.3,0.397,-1.697
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.94117647059,1.267,0.6741764705900002
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.26666666667,0.276,-2.5426666666699997
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.66666666667,1.68,0.9866666666699999
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.3125,0.567,0.7455
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.3529411764700003,0.396,-2.7489411764700002
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.88888888889,1.283,0.60588888889
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.0,0.5,0.5
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.5652173913040001,0.35,0.21521739130400008
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.55,0.5,-2.05
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.6,2.18,0.41999999999999993
"V-A,V-M,V-NYT,V-T",Emollama-7b,-3.0,0.286,-3.286
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.52380952381,0.367,-1.89080952381
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.0526315789500003,1.2,0.8526315789500003
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.80769230769,0.29,-3.09769230769
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.3181818181799998,0.567,0.7511818181799998
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.66666666667,0.31,-2.97666666667
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.0666666666700002,0.5,0.5666666666700002
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.705882352941,0.32,-1.025882352941
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.93333333333,0.328,-2.26133333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,-3.0,0.367,-3.367
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.7619047619,1.2,1.5619047619
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.6,0.387,1.213
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.53333333333,0.567,1.96633333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.25,0.5,-0.25
"V-A,V-M,V-NYT,V-T",Emollama-7b,-3.0,0.276,-3.276
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.9047619047599995,0.397,-2.3017619047599993
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.0,0.5,-1.5
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.1875,1.2,0.9875
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.13333333333,1.28,0.8533333333299999
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.5625,0.5,1.0625
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.73333333333,0.5,-2.23333333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.9375,0.567,1.3705
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.8666666666670001,0.567,-1.433666666667
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.68421052632,0.567,1.11721052632
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.2,1.267,0.9330000000000003
"V-A,V-M,V-NYT,V-T",Emollama-7b,-3.27777777778,0.196,-3.47377777778
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.82352941176,0.621,1.20252941176
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.0,0.517,1.483
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.4375,0.5,0.9375
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.2380952381,0.581,1.6570952381000001
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.8,0.5,0.30000000000000004
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.70588235294,0.5,1.20588235294
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.33333333333,0.35,-1.6833333333299998
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.33333333333,1.067,0.26633333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.0,0.5,0.5
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.05263157895,0.567,0.4856315789500001
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.6315789473700002,0.5,1.1315789473700002
"V-A,V-M,V-NYT,V-T",Emollama-7b,-3.63157894737,-2.68,-0.9515789473699998
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.66666666667,0.367,-2.0336666666700003
"V-A,V-M,V-NYT,V-T",Emollama-7b,-3.0,0.387,-3.387
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.0,0.517,-1.517
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.2,0.567,0.633
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.82352941176,0.367,-2.19052941176
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.36842105263,0.532,1.83642105263
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.33333333333,1.2,1.1333333333300002
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.16666666667,0.396,-2.5626666666699998
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.35,0.183,-2.533
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.8125,1.2,0.6125
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.47619047619,0.38,-1.85619047619
"V-A,V-M,V-NYT,V-T",Emollama-7b,-3.38461538462,0.183,-3.56761538462
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.5,0.567,0.933
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.88235294118,0.567,1.31535294118
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.93333333333,0.6,1.3333333333300001
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.0,0.5,-2.5
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.2,1.086,1.114
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.625,0.21,-2.835
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.0869565217400003,1.28,0.8069565217400003
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.8125,0.521,-2.3335
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.05555555556,1.326,0.7295555555599997
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.47058823529,1.08,1.39058823529
"V-A,V-M,V-NYT,V-T",Emollama-7b,-3.2380952381,0.296,-3.5340952381
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.958333333333,0.387,-1.345333333333
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.46666666667,0.6,1.86666666667
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.77777777778,0.5,-2.27777777778
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.31578947368,0.621,1.6947894736800002
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.77777777778,1.26,1.51777777778
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.0,0.35,-2.35
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.16666666667,0.367,-2.53366666667
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.625,0.397,-2.0220000000000002
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.0,0.387,-2.387
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.09090909091,0.396,-1.4869090909100002
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.0625,0.32,-2.3825
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.0,0.367,-2.367
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.0,0.5,0.5
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.7894736842099996,0.5,1.2894736842099996
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.9375,0.367,-1.3045
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.45,0.379,-1.829
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.95238095238,0.5,-2.45238095238
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.35,0.379,-1.729
"V-A,V-M,V-NYT,V-T",Emollama-7b,-0.555555555556,0.357,-0.912555555556
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.473684210526,0.397,0.076684210526
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.06666666666669999,0.379,-0.31233333333330004
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.10526315789,0.32,-2.42526315789
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.375,0.357,-1.732
"V-A,V-M,V-NYT,V-T",Emollama-7b,2.52380952381,1.367,1.1568095238099998
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.51851851852,0.317,-2.8355185185200003
"V-A,V-M,V-NYT,V-T",Emollama-7b,-1.95238095238,0.379,-2.33138095238
"V-A,V-M,V-NYT,V-T",Emollama-7b,1.9375,1.08,0.8574999999999999
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.933333333333,0.5,0.43333333333299995
"V-A,V-M,V-NYT,V-T",Emollama-7b,0.478260869565,0.397,0.081260869565
"V-A,V-M,V-NYT,V-T",Emollama-7b,-2.4,0.29,-2.69
